disease,taluk,district,latitude,longitude,date,candidate_source,source_evidence_score,source_confidence
acute_diarrheal_disease,Pattambi,Palakkad,10.8,76.2,2020-01-01,False,0.5402038928447892,MEDIUM
acute_diarrheal_disease,Aluva,Ernakulam,10.1075,76.3516,2020-01-03,False,0.538951549506862,MEDIUM
acute_diarrheal_disease,Mukundapuram,Thrissur,10.3333,76.2167,2020-01-03,False,0.519331637948196,MEDIUM
acute_diarrheal_disease,Kothamangalam,Ernakulam,10.0667,76.6333,2020-01-04,False,0.5817052753945277,MEDIUM
acute_diarrheal_disease,Nedumangad,Thiruvananthapuram,8.6036,77.0031,2020-01-04,False,0.4800823852570103,MEDIUM
acute_diarrheal_disease,Neyyattinkara,Thiruvananthapuram,8.4004,77.0872,2020-01-04,False,0.4652796272783353,MEDIUM
acute_diarrheal_disease,Kochi,Ernakulam,9.9312,76.2673,2020-07-06,False,0.5105604884645116,MEDIUM
acute_diarrheal_disease,Perinthalmanna,Malappuram,10.9667,76.2167,2020-07-07,False,0.5031506689457564,MEDIUM
acute_diarrheal_disease,Iritty,Kannur,11.9333,75.7,2020-08-08,True,0.8268966746638382,MEDIUM
acute_diarrheal_disease,Varkala,Thiruvananthapuram,8.7379,76.7163,2020-08-08,False,0.4714249573948569,MEDIUM
acute_diarrheal_disease,Kunnamkulam,Thrissur,10.65,76.0667,2020-09-09,False,0.4691056205493004,MEDIUM
acute_diarrheal_disease,Alathur,Palakkad,10.6333,76.55,2020-09-09,False,0.4675308171016287,MEDIUM
acute_diarrheal_disease,Cherthala,Alappuzha,9.6833,76.3333,2020-09-10,False,0.4939051614220096,MEDIUM
acute_diarrheal_disease,Tirurangadi,Malappuram,11.0,75.9333,2020-09-11,False,0.7103993930628707,MEDIUM
acute_diarrheal_disease,Kondotty,Malappuram,11.15,75.9667,2020-09-11,False,0.4660050952115487,MEDIUM
acute_diarrheal_disease,Kozhikode,Kozhikode,11.2450558,75.7754716,2020-09-11,False,0.4522405067621434,MEDIUM
acute_diarrheal_disease,North Paravur,Ernakulam,10.1333,76.2,2020-09-12,False,0.4509855338887134,MEDIUM
acute_diarrheal_disease,Thrissur,Thrissur,10.5256264,76.2132542,2020-10-14,False,0.4271223968128911,MEDIUM
acute_diarrheal_disease,Meenachil,Kottayam,9.7167,76.6833,2020-10-14,False,0.4917212826672894,MEDIUM
acute_diarrheal_disease,Thodupuzha,Idukki,9.8955,76.7241,2020-10-15,False,0.4455864049776811,MEDIUM
acute_diarrheal_disease,Vellarikundu,Kasaragod,12.4167,75.2333,2020-10-15,False,0.4085990581974542,MEDIUM
acute_diarrheal_disease,Koyilandy,Kozhikode,11.4333,75.7,2020-10-15,False,0.407584174363786,MEDIUM
acute_diarrheal_disease,Karthikappally,Alappuzha,9.2833,76.4667,2020-10-17,False,0.4299932378559812,MEDIUM
acute_diarrheal_disease,Mavelikkara,Alappuzha,9.2667,76.55,2020-10-17,False,0.4376866700013057,MEDIUM
acute_diarrheal_disease,Chalakudy,Thrissur,10.3,76.3333,2020-11-19,False,0.3874229429564803,MEDIUM
acute_diarrheal_disease,Ambalappuzha,Alappuzha,9.5006651,76.41241429,2020-11-19,False,0.4458524724016993,MEDIUM
acute_diarrheal_disease,Mannarkkad,Palakkad,11.0,76.4667,2020-11-21,False,0.3612459980528498,MEDIUM
acute_diarrheal_disease,Thamarassery,Kozhikode,11.2667,75.9333,2020-11-21,False,0.4567440685015905,MEDIUM
acute_diarrheal_disease,Nilambur,Malappuram,11.2833,76.2333,2020-11-22,False,0.364142370703771,MEDIUM
acute_diarrheal_disease,Peerumade,Idukki,9.5667,76.9667,2020-11-23,False,0.7052742685583533,MEDIUM
acute_diarrheal_disease,Thiruvalla,Pathanamthitta,9.3833,76.5833,2020-11-23,False,0.44392068020009,MEDIUM
acute_diarrheal_disease,Thalassery,Kannur,11.75,75.4833,2020-11-23,False,0.3698576091734942,MEDIUM
acute_diarrheal_disease,Muvattupuzha,Ernakulam,9.9833,76.5833,2020-11-24,False,0.3694630414429021,MEDIUM
acute_diarrheal_disease,Chenganoor,Alappuzha,9.3167,76.6167,2020-11-24,False,0.4124829601282076,MEDIUM
acute_diarrheal_disease,Kollam,Kollam,8.8879509,76.5955013,2020-12-26,False,0.3127763641626738,MEDIUM
acute_diarrheal_disease,Palakkad,Palakkad,10.78789845,76.47408711,2020-12-28,False,0.3300972573202939,MEDIUM
acute_diarrheal_disease,Devikulam,Idukki,10.0667,77.1,2020-12-28,False,0.3207406391346621,MEDIUM
acute_diarrheal_disease,Kodungallur,Thrissur,10.2333,76.2,2020-12-31,False,0.3188828066505091,MEDIUM
acute_diarrheal_disease,Adoor,Pathanamthitta,9.1667,76.7333,2020-12-31,False,0.3350613396483115,MEDIUM
acute_diarrheal_disease,Kanayannur,Ernakulam,9.98408,76.2741457,2021-01-03,False,0.3015848332932833,MEDIUM
acute_diarrheal_disease,Tirur,Malappuram,10.9167,75.9167,2021-01-04,False,0.3029893800386696,MEDIUM
